Code,Location,Contact,Location URL,Latitude,Longitude
1,"Main Branch Muzaffarabad
Fatima Plaza, Chatter Domel Muzaffarabad","TEL: 05288 921254
         05822 921181
FAX: 05822 921365
E-mail: cm0001@Bankajk.com",https://bankajk.com/bajk-maps/001.php,34.345478,73.4669172
2,"Main Branch Mirpur
Nishat Centre, Allama Iqbal Road, Mirpur","TEL: 05827 921448
FAX: 05827 921442
E-mail: manager0002@Bankajk.com",https://bankajk.com/bajk-maps/002.php,33.1497909,73.741833
3,"Dadyal Branch
Maqbool Butt Shaheed Chowk, Dadyal","TEL: 05827 923070
FAX: 05827 923069
E-mail: manager0003@Bankajk.com",https://bankajk.com/bajk-maps/003.php,33.3432026,73.6942077
4,"Chaksawari Branch
 Opposite Al-Shahzad Hotel Chaksawari","TEL: 05827 922664
FAX: 05822 922665
E-mail: manager0004@Bankajk.com",https://bankajk.com/bajk-maps/004.php,33.2650478,73.7843701
5,"Kotli Branch
Poonch / Rawalpindi Road Kotli","TEL: 05826 920241
FAX: 05826 920242
E-mail: manager0005@Bankajk.com",https://bankajk.com/bajk-maps/005.php,33.5147234,73.8994543
6,"Rawalakot Branch
Gulf Shopping Complex Katchari Road Rawalakot","TEL: 05824 920069
FAX: 05824 920068
E-mail: manager0006@Bankajk.com",https://bankajk.com/bajk-maps/006.php,33.8579759,73.759274
7,"Sehnsa Branch
Main Bazar Sehnsa AJK","TEL: 05826 923062
FAX: 05826 923063
E-mail: manager0007@Bankajk.com",https://bankajk.com/bajk-maps/007.php,33.5129108,73.7552923
8,"Athmuqam Branch
 Main Bazar Athmuqam District Neelum AJK","TEL: 05821 920033
FAX: 05821 920033
E-mail: manager0008@Bankajk.com",https://bankajk.com/bajk-maps/008.php,34.5885451,73.9149642
9,"Islamgarh Branch
 Main Bazar Islamgarh District Mirpur AJK","TEL: 05827 922562
FAX: 05827 922563
E-mail: manager0009@Bankajk.com",https://bankajk.com/bajk-maps/009.php,33.1883584,73.8318372
10,"Bagh Branch
Main Bazar Bagh AJK","TEL: 05823 920103
FAX: 05823 920104
E-mail: manager0010@Bankajk.com",https://bankajk.com/bajk-maps/010.php,33.979593,73.7776458
11,"Arja Branch
Bagh/Rawalakot Chowk Arja District Bagh AJK","TEL: 05823 921005
FAX: 05823 921006
E-mail: manager0011@Bankajk.com",https://bankajk.com/bajk-maps/011.php,33.9742392,73.6580086
12,"Bhimber Branch
 Main Bazar Bhimber AJK","TEL: 05828 920505
FAX: 05828 920506
E-mail: manager0012@Bankajk.com",https://bankajk.com/bajk-maps/012.php,32.9729087,74.0726593
13,"Pallandari Branch
Main Bazar Pallandari AJK","TEL: 05825 920010
FAX: 05825 920009
E-mail: manager0013@Bankajk.com",https://bankajk.com/bajk-maps/013.php,33.7181555,73.6868852
14,"Nar Branch
 Main Bazar Nar District Kotli AJK","TEL: 05826 921060
FAX: 05826 921061
E-mail: manager0014@Bankajk.com",https://bankajk.com/bajk-maps/014.php,33.3956281,73.8297021
15,"F-3 Branch, Mirpur
Sector F-3 Mirpur AJK","TEL: 05827 920439
FAX: 05827 920440
E-mail: manager0015@Bankajk.com",https://bankajk.com/bajk-maps/015.php,33.1378898,73.7753496
16,"Hajeera Branch
 Main Bazar Hajeera District Poonch Azad Kashmir","TEL: 05824 920233
FAX: 05824 920234
E-mail: manager0016@Bankajk.com",https://bankajk.com/bajk-maps/016.php,33.7704685,73.8952929
17,"Garhi-Dupata Branch
Pull Bazar Garhi Dupatta Muzaffarabad A.K","TEL: 05822 922502
FAX: 05822 922503
E-mail: manager0017@Bankajk.com",https://bankajk.com/bajk-maps/017.php,34.2335386,73.6086146
18,"Lower Plate Branch
Near City Hospital Lower Plate Muzaffarabad A.K","TEL: 05822 920466
FAX: 05822 442664
E-mail: manager0018@Bankajk.com",https://bankajk.com/bajk-maps/018.php,34.3790629,73.4638181
