atmid,country,city,branch,location,latitude,longitude,branchtype,timings,facilities,pobox,phone,fax,insdate
,United Arab Emirates,Abu Dhabi,ADCB Mortgage Centre,"Unit 902 & 903, Business Avenue Tower (9th floor), Al Faymah Street, Abu Dhabi ",24.49155101,54.3761957,MortgageCentre,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,Assistance for customers throughout the entire Mortgage journey from instant digital pre-approval to post-disbursement support.,,,,01/01/0001
101,United Arab Emirates,Abu Dhabi,ADCB Head Office Branch ATMs ,"Sheikh Zayed Bin Sultan Street, ADCB Building",24.493104,54.374589,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
101,United Arab Emirates,Abu Dhabi,ADCB Head Office Branch,"Zayed the first street at the intersection with Sheikh Zayed Road, ADCB building",24.493104,54.374589,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transactions / Customer Service / SME Center / Excellency Center / Safe Deposit Lockers Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",2934 Abu Dhabi,+971 2 6962600,,01/01/0001
101,United Arab Emirates,Abu Dhabi,Head Office Excellency Centre  ,"Zayed the first street at the intersection with Sheikh Zayed Road, ADCB building - Mezzanine floor",24.493104,54.374589,Excellency,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",939 Abu Dhabi,600 50 2004,,01/01/0001
100219,United Arab Emirates,Abu Dhabi,"ADCB Private Banking Center, Abu Dhabi","Abu Dhabi Global Market, Al Sila Tower, 10th Floor , Al Maryah Island",24.501099,54.3885360,Private,08:00 AM - 03:00 PM Monday to Thursday <br/>08:00 AM - 12:00 PM on Friday <br/>Closed on Saturday and Sunday,All private banking services except cash transactions,,600 50 2322,,01/01/0001
104,United Arab Emirates,Abu Dhabi,Al Hosn Branch ATMs,"Remah Tower, Zayed the First Street, Abu Dhabi",24.478962,54.354263,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
104,United Arab Emirates,Abu Dhabi,Al Hosn Branch ,"Remah Tower, Zayed the First Street, Abu Dhabi",24.478962,54.354263,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",2832 Abu Dhabi,+971 2 4067500,,01/01/0001
106,United Arab Emirates,Abu Dhabi,Khalidiya Mall Branch ATMs ,"Al Khalidiya, Mubarak Bin Mohammed Street, Khalidiya Mall, Ground level",24.470256,54.351511,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
106,United Arab Emirates,Abu Dhabi,Khalidiya Mall Branch,"Al Khalidiya, Mubarak Bin Mohammed Street, Khalidiya Mall, Ground level",24.470256,54.351511,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",29923 Abu Dhabi,+971 2 5016350,,01/01/0001
107,United Arab Emirates,Abu Dhabi,Abu Dhabi Exhibition Center (ADNEC) Branch ATMs ,"ADNEC Area, Abu Dhabi One Tower, Ground level",24.420002,54.442854,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
