ADIB/DisplayTitle,ADIB/Location,ADIB/Latitude,ADIB/Longitude,ADIB/Timings,ADIB/PhoneNumber,ADIB/Description,ADIB/BranchStatus,ADIB/ATMStatus,ADIB/CashDepositeStatus,ADIB/IsActive,ADIB/Notes,ADIB/PriorityCenterStatus,ADIB/ExtendedhoursStatus,ADIB/ITMStatus,ADIB/DanaBranch,ADIB/BusinessCenters,ADIB/Status,ADIB/ATMID
Najda Branch ,Abu Dhabi ,24.49356505,54.36789902,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,600543216,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,True ,False ,True ,,
Al Wahda Mall Branch-Abu Dhabi ,Abu Dhabi ,24.47038531,54.37193693,10:00 AM - 10:00 PM (Monday - Thursday ;Saturday) ;04:00 PM - 10:00 PM (Friday) ;Sunday Closed ,02-6934172 ,,True ,True ,True ,True ,"Ground Floor, New Extension,Al Wahda Mall - Abu Dhabi ",True ,True ,False ,False ,False ,,
Abu Dhabi Police GHQ Branch ,Abu Dhabi ,24.44949812,54.39376664,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-6520816 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Sheikh Zayed Main Branch ,Abu Dhabi ,24.42218084,54.45829221,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-6925522 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,True ,False ,True ,,
Sheikh Khalifa Energy Complex Branch ,Abu Dhabi ,24.49811029,54.36659956,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-501 0771 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
ADIA Cash Office Branch ,Abu Dhabi ,24.47324525,54.35094199,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-501 0771 ,,True ,True ,True ,True ,ADIA Staff Only ,False ,False ,False ,False ,False ,,
Al Bateen Branch ,Abu Dhabi ,24.4563014,54.33929407,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-5100666 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,True ,False ,False ,,
Marina Mall Branch ,Abu Dhabi ,24.47662611,54.32068972,10AM-10PM ;4PM-10PM Friday ;Sunday Closed ,02-6520970 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,True ,False ,False ,False ,,
Nation Towers Branch ,Abu Dhabi ,24.46493495,54.32891717,10AM-10PM ;4PM-10PM Friday ;Sunday Closed ,02-6520961 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,True ,False ,False ,False ,,
Abu Dhabi Judicial dept. Branch ,Abu Dhabi ,24.41670384,54.44663499,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-6100028 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Baniyas Branch ,Abu Dhabi ,24.31873776,54.61156621,Monday - Saturday: 08:00 am - 02:00 pm ;Friday: 08:00 am - 12:00 pm ,02-6934188 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,False ,True ,False ,,
Mussafah Branch ,Abu Dhabi ,24.37377483,54.5091452,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-6934188 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Dalma Mall Branch ,Abu Dhabi ,24.3311768,54.52455037,10AM-10PM ;4PM-10PM Friday ;Sunday Closed ,02-5010778 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,True ,True ,False ,False ,,
Khalifa A City Branch ,Abu Dhabi ,24.42684896,54.56635788,08:00 AM - 02:00 PM (Monday - Saturday) ;08:00 AM - 12:00 PM (Friday) ;Sunday Closed ,02-5100661 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,False ,False ,False ,,
Bawabat Al Sharq Mall Branch ,Abu Dhabi ,24.31171339,54.62019758,Monday - Saturday: 10:00 am - 10:00 pm ;Friday: 04:00 pm - 10:00 pm ,02-6520986 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,True ,True ,False ,False ,,
Shahama Branch ,Abu Dhabi ,24.55007414,54.6855355,08:00 AM - 02:00 PM (Monday -Saturday);08:00 AM - 12:00 PM (Friday) ;Sunday Closed ,02-6935608 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Yas Mall Branch ,Abu Dhabi ,24.48938767,54.6108389,10AM-10PM ;4PM-10PM Friday ;Sunday Closed ,02-6100228 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,True ,False ,False ,False ,,
Madinat Zayed Branch ,Abu Dhabi ,23.64243499,53.7091625,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-8841715 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,False ,True ,False ,,
Al Silaa Branch ,Abu Dhabi ,24.07668152,51.76670111,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-8945250 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Al Marfaa Branch ,Abu Dhabi ,24.08936723,53.48174279,08:00 AM - 02:00 PM (Monday - Thursday);08:00 AM - 12:00 PM Friday ;Saturday ;Sunday Closed ,02-8945223 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Dalma Island Branch ,Abu Dhabi ,24.48148399,52.30769747,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-8945220 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Liwa Branch ,Abu Dhabi ,23.13153162,53.80119951,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-8945326 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Gayathi Branch ,Abu Dhabi ,23.85118966,52.80919925,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,02-8945302 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Ruwais Mall Branch ,Ruwais ,24.07523622,52.67158565,Monday - Saturday: 10:00 pm -10:00 pm ;Friday: 04:00 pm - 10:00 pm ,02-8945285 ,,True ,True ,True ,True ,"ATM and CCDM 24/7 &lt;br /&gt;&lt;br /&gt;Dear Customer, the working hours of Al Ruwais Mall Branch will be changed effective 06th Mar 2023, to be from 10:00 AM to 10:00 PM (Monday – Saturday) and from 04:00 PM to 10:00 PM on (Friday).",False ,True ,False ,False ,False ,,
Al Ain Branch ,Al Ain ,24.22333242,55.78019949,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,03-7088667 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,True ,False ,False ,,
Al Jimi Mall Branch ,Al Ain ,24.24573182,55.72611538,10AM-10PM ;4PM-10PM Friday ;Sunday Closed ,03-7088600 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,True ,True ,True ,False ,,
Al Yahar Branch ,Al Ain ,24.22142757,55.5454651,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,03-7088645 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,True ,False ,,
Al Wagan Branch ,Al Ain ,23.64090614,55.5657948,8AM-2PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,03-7039600 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,False ,False ,False ,False ,False ,,
Oud Al Tobba Branch ,Al Ain ,24.22839014,55.76147806,8AM-8PM Monday thru Thursday ;Saturday ;8AM-12PM Friday ;Sunday Closed ,03-7039555 ,,True ,True ,True ,True ,ATM and CCDM 24/7 ,True ,False ,False ,True ,False ,,
