City,Title,Work Day,Work Hour,Location Href,Latitude,Longitude
Makkah Al-Mukarramah,Makkah Multi-Brand F,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=21.36260992,39.79453722",21.36260992,39.79453722
Tabouk,Tabook Multi-Brand F,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=28.42224334,36.6081091",28.42224334,36.6081091
Madina,Taif WSales,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=20.1293586,41.420287",20.1293586,41.420287
Madina,Taif WSales,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=20.1293586,41.420287",20.1293586,41.420287
Haweyah,Yanbu ALJR Financing,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=24.02994744,38.21591201",24.02994744,38.21591201
Madina,Al-Matar ALJR Financ,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=24.52243588,39.67253772",24.52243588,39.67253772
Riyadh,Lexus Riyadh ALJR Fi,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=24.78043506,46.69089503",24.78043506,46.69089503
Jeddah,Lexus Jeddah ALJR Fi,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=21.5429944,39.17716226",21.5429944,39.17716226
Buraydah,Buraydah Multi-Brand,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=26.41229045,43.87784956",26.41229045,43.87784956
Taif,Al-Taif Multi-Brand,"Working Days
Sunday - Thursday","Working Hours
First Shift: 08:00 AM to 12:30 PM
Second Shift: 12:30 PM to 08:30 PM","https://www.google.com/maps?q=21.26469047,40.45797404",21.26469047,40.45797404
