Latitude,Longitude,Address,Details
24.47192828,54.3466723,"Bldg 428, Zayed First St, Opposite to Coop, Khalidiya","Abu Dhabi Bldg 428, Zayed First St, Opposite to Coop, Khalidiya  Phone : 02-6547777"
25.391722,55.436969,"Khalifa Branch, Khalifa Street","Ajman Khalifa Branch, Khalifa Street   Phone : (9716) 701-8656<br /><strong>Fax : +971 6 7460065"
24.82104901,56.07261881,"Inside Sanad Service Center, Ground Floor, Next to Masjid Obaid Al Shaali","Ajman Inside Sanad Service Center, Ground Floor, Next to Masjid Obaid Al Shaali  Phone : +97167018561"
25.129343,55.209521,Sheikh Zayed Road Dubai Branch,Dubai Sheikh Zayed Road Dubai Branch  Phone : 80022
25.3341185,55.37572324,"Zahrat El Madaen Tower, Ground Floor, Corniche St, Next to Starbucks, Al Majaz","Sharjah Zahrat El Madaen Tower, Ground Floor, Corniche St, Next to Starbucks, Al Majaz  Phone : +971 6 701 8452"
25.41897401,55.45290381,"Bldg C1, Sheikh Rashid Bin Saeed Al Maktoum St, Next to Emirates Express","Ajman Bldg C1, Sheikh Rashid Bin Saeed Al Maktoum St, Next to Emirates Express  Phone : +97167018277"
24.2252694,55.7584047,"Ajman Bank - Al Ain Branch, Sheikh Khalifa Bin Zayed St","Al Ain Ajman Bank - Al Ain Branch, Sheikh Khalifa Bin Zayed St  Phone : (9713) 799-7474"
25.39840721,55.4755041,"Al Ettehad St, Next to Etisalat Business Center, Meshairef","Ajman Al Ettehad St, Next to Etisalat Business Center, Meshairef  Phone : +97167479999<br /><strong>Fax : (9716) 747 9990"
24.334847,54.523698,"Inside Dalma Mall, 1st Floor, Al Wazn St, Mussaffah","Abu Dhabi Inside Dalma Mall, 1st Floor, Al Wazn St, Mussaffah  Phone : 02- 6547775"
25.761831,55.9143693,Next to Health First Pharmacy - E11 - Al Nadiyah - Ras al Khaimah,Ras Al-Khaimah  Next to Health First Pharmacy - E11 - Al Nadiyah - Ras al Khaimah
25.2592231,55.3198408,785C+J4V - Deira - Riggat Al Buteen - Dubai,Dubai 785C+J4V - Deira - Riggat Al Buteen - Dubai
