ALANSARI/title,ALANSARI/lat,ALANSARI/lng,ALANSARI/image,ALANSARI/address,ALANSARI/city,ALANSARI/timings,ALANSARI/mobile_number,ALANSARI/contact_number,ALANSARI/contact_email,ALANSARI/id
Abela Branch,24.475664,54.346377,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Abela Super Store Khalidiya, AUH</p>
",UAE,"<p>Monday &#8211; Saturday: 08:00 AM &#8211; 11:30 PM<br />
Sunday: 09:00 AM &#8211; 11:00 PM</p>
",600 54 6000,,info@alansari.ae,27316
Abu Dhabi Coop Society &#8211; Muroor Branch,24.433532,54.439352,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Muroor Complex, Shop #8 and 9, Abu Dhabi Coop Society, Dhafeer street</p>
",UAE,"<p>Monday &#8211; Saturday: 08:00 AM &#8211; 11:30 PM<br />
Sunday: 08:30 AM &#8211; 11:30 PM</p>
",600 54 6000,,info@alansari.ae,36575
Abu Dhabi Mall Branch,24.496994,54.382564,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Abu Dhabi Mall Tourist Club Area, AUH</p>
",UAE,"<p>Monday – Sunday: 08:30 AM – 11:30 PM</p>
",600 54 6000,,info@alansari.ae,27321
Al Buteen Co-Op Society Branch,24.46227,54.35963,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Buteen Co-Op Society, AUH</p>
",UAE,"<p>Everyday: 08:00 AM – 12.00 MN</p>
",600 54 6000,,info@alansari.ae,27317
"Al Dhafra Co-op, Madinat Zayed Branch",23.652310688474433,53.70650985915743,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Ground Floor Al Dhafra Cooperative Society, Madinat Zayed, AUH</p>
",UAE,"<p>Monday – Saturday: 08:00 AM – 11:30 PM, Sunday  : 08:30 AM – 11:30 PM</p>
<p>&nbsp;</p>
",600 54 6000,,info@alansari.ae,27337
Al Dhannah City Branch,24.087257,52.653871,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>ADNOC Housing Complex, Al Dhannah City, AUH</p>
",UAE,"<p>Monday – Saturday: 08:00 AM – 10:30 PM, Sunday: 12:00 NN &#8211; 10:00 PM</p>
",600 54 6000,,info@alansari.ae,27344
Al Falah Plaza Branch,24.478476,54.37205,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Al Falah Plaza, Old Passport Road, AUH</p>
",UAE,"<p>Monday – Sunday: 08:00 AM – 12:00 MN</p>
",600 54 6000,,info@alansari.ae,27322
Al Khalidiyah Mall Branch,24.469716,54.352372,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Ground floor, Opposite Lulu Hyper Market, AUH</p>
",UAE,"<p>Monday – Sunday: 08:00 AM – 12:00 MN</p>
",600 54 6000,,info@alansari.ae,27355
Al Mushrif Cooperative Society Branch,24.426408,54.407463,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Shop No. 8, Fround Floor, Al Mushref Cooperative Society, Abu Dhabi</p>
",UAE,"<p>Monday – Saturday: 08:00 AM – 12.00 MN, Sunday: 08:30 AM – 11:30 PM</p>
",600 54 6000,,info@alansari.ae,27323
Al Raha Mall Branch,24.438962,54.573644,https://alansariexchange.com/wp-content/themes/alansari/assets/images/active.png,"<p>Ground Floor, Beside BHS Home, Al Raha Mall, AUH</p>
",UAE,"<p>Monday – Saturday: 09:00 AM – 11:00 PM, Sunday : 12:00 PM – 10:00 PM</p>
",600 54 6000,,info@alansari.ae,27324
