lat,lng,phone,name,All_info
18.211667,42.503333,(017) 225-1052,Abha," Tobija Street, 348



Phone: (017) 225-1052
Fax: (017) 225-1268"
20.015384,41.454677,(017) 725-0796,Al Baha," Main Road, AlBaha



Phone: (017) 725-0796
Fax: (017) 725-0792"
21.594854,39.173012,(012) 682-4378,Al Bawadi," AlAmir Fahd Street, AlBawadi District, 216 21411



Phone: (012) 682-4378
Fax: (012) 662-3472"
26.32341,50.162701,(013) 809-8310,Al Doha," Abdullah Ibn Al Abbas Street



Phone: (013) 809-8310
Fax: (013) 809-7056"
21.750833,39.187222,(012) 658-2934,Al Hamadanyah," AlHamadanyah street, AlHamadanyah district, Jeddah



Phone: (012) 658-2934
Fax: (012) 668-1569"
24.765865,46.755919,(011) 278-9500,Al Hamra," Aqba Bin Nafea St. , AlHamra District, 154 11431



Phone: (011) 278-9500
Fax: (011) 278-2618"
29.958465,40.205732,(014) 624-7960,Al Jouf," King Fahd Ben Abdulaziz Street, Safa Dist, AlJouf, Skaka



Phone: (014) 624-7960
Fax: (014) 624-6220"
24.762742,46.810897,(011) 226-9148,Al Khaleej (I)," Salman Al Farsi St., Al Khaleej District, 154 11431



Phone: (011) 226-9148
Fax: (011) 227-2919"
26.366111,50.205278,(013) 859 1177 ,Al Khobar North," Khalid bin Al Walid St., Al Rakkah, 31952



Phone: (013) 859 1177
Fax: (013) 859-0707"
24.678889,46.706667,,Al Maather***," Ma'ather Street, 154 11431




Fax: (011) 406-6120"
21.669815,39.110087,(012) 699-9611,Al Malek," Malek Road Mohammadia District 216



Phone: (012) 699-9611
Fax: (012) 699-5925"
25.420143,49.561972,(013) 586-5333,Al Mubarraz," 354 Road, Alqadsiyah District, Mubarraz, Al Ahsa



Phone: (013) 586-5333
Fax: (013) 587-7168"
21.607983,39.127345,(12) 662-1814,Al Nahda," Hera'a Street, AlNahdha District, 216 21411



Phone: (12) 662-1814
Fax: (012) 662-1815"
24.750938,46.624636,(011) 470-1245,Al Nakheel," North Ring Road Al-Nakheel District, 154 11431



Phone: (011) 470-1245
Fax: (011) 470-1925"
26.561028,50.013047,(013) 851-0077,Al Quds," AlQuds Street, 321, Al Quds 31911



Phone: (013) 851-0077
Fax: (013) 854-1749"
