name,location
Al Rostamani International Exchange,55.1996513 25.1183852
Al Rostamani International Exchange,55.2765847 25.2146433
Al Rostamani International Exchange,55.2888216 25.2220504
Al Rostamani International Exchange,55.410525 25.192801
Al Rostamani International Exchange,55.304587 25.26859
Al Rostamani International Exchange,55.2955421 25.2570235
Al Rostamani International Exchange,55.404486 25.158712
Al Rostamani International Exchange,55.1295639 25.0683203
Al Rostamani International Exchange,55.1681256 25.0940894
Al Rostamani International Exchange,55.2888216 25.2220504
Al Rostamani International Exchange,55.207241 25.069002
Al Rostamani International Exchange,55.2765847 25.2146433
Al Rostamani International Exchange,55.1996513 25.1183852
Al Rostamani International Exchange,55.2159242 25.0660593
Al Rostamani International Exchange,55.3683975 25.2892375
Al Rostamani International Exchange,55.3378715 25.2771226
Al Rostamani International Exchange,55.3029041 25.2454177
Al Rostamani International Exchange,55.3659361 25.241232
Al Rostamani International Exchange,55.395455 25.119559
Al Rostamani International Exchange,55.25658 25.186705
Al Rostamani International Exchange,55.146491 25.107423
Al Rostamani International Exchange,55.1707726 25.0542517
