branches/id,branches/name,branches/district,branches/latitude,branches/longitude,branches/zoom,,
0mbRbINA0scaEJY2bWDb,Birzeit,,31.969175,35.193286,20,,
15h5w4FjKZU0OPlVE8RK,Wadi Saqra ,,31.960713,35.895378,20,,
17FXXF2LQEwnLuYrEDd9,Al-Irsal,,31.917162,35.207169,20,,
1Zpu6j60E50u4wmhy1WK,Mecca Street,,31.975807,35.848749,20,,
27BKbXhmrWIQfAC8TUHa,Rafeedia branch,,32.223258,35.234989,20,,
2hfO53lRymzBEMZQV0bb,Rahmaniyah Branch,,32.014972,35.833861,20,,
3ZAFNgxkEbBLc6Lx2Pei,Sweifieh,,31.958148,35.867292,20,,
3cfPEsIl2N75ESdEBZoC,Loran ,,31.252447,29.97249,20,,
43wekSjAH1CEVyAVwuyx,City Mall,,31.980628,35.838336,20,,
4HytIHDLIwgtKkS1rjG9,Ali Amin,,30.054,31.336,20,,
4KySV9GjDWEMhYVfNlAf,Yatta,,31.457,35.11,20,,
4oklkg10TwZ9loYfkPrw,City Stars,,30.0741428,31.3450436,20,,
50bTMqduRqpgQsTooZ9h,Ajloun,,32.33178,35.75189,20,,
59smbogO0MN7UqapLMdl,Al Manarah Branch,,31.905055,35.204727,20,,
61BCEJecPT4R7MyWMho8,Jubeiha,,32.01882,35.86581,20,,
6m9gT9qkto9hZs4sOwPz,Mohandessin,,30.055,31.203,20,,
6srgQp4OJKRxbZ2lLdrE,Beit Jala,,31.711826,35.197192,20,,
7AX1MyS1JGqlAJqbmXy9,Mecca Mall,,31.977182,35.84293,20,,
7laTI7r3qkTGKmXUAjCX,Zarqa,,32.063124,36.091832,20,,
8AYUh7WDOHHggeh0728a,Wadi Seer,,31.954632,35.84141,20,,
8DqgQh9n1tYgMRmtWBfX,Baqaa,,32.076817,35.84529,20,,
8MlYyAfFkyqy1gQyKI0l,Al Tireh,,31.911713,35.186432,20,,
8TxYAiidOAbQE32NXhxK,Abu Alanda,,31.8980695,35.9657648,20,,
8l4TOh1IClwvPMQI11at,Heliopolis,,30.090947,31.331278,20,,
8rPfPVlX5fpHCr6yYFek,Self service- Uthaina,,31.966776,35.872601,20,,
9BoRzk0ZidKaJTrwzfuk,Dabouq,,31.9977,35.8219,20,,
9CarzkcK7234A4yIWIY8,North Hashmi,,31.979448,35.942516,20,,
9UTKeNVG0lDNgxf9Z9fh,New Cairo,,30.0208021,31.420479,20,,
9pfQMLDMxbNsysD93I1b,Sahab,,31.85242,36.00743,20,,
Ajh2iJOCtJPK8zHdQ7Z5,Russaifeh,,32.01664,36.04531,20,,
BentWhf93RzyFUwZhTmv,Shaikh Othman,,12.872158,44.988558,20,,
CDA1G9IemU2nZe7KeBSK,Saida,,33.562459,35.373812,20,,
COhtsP5hcGjuuBQ9IX63,Zaytouneh University,,31.83433,35.893728,20,,
CggVVZtWTsjQ5p2nS9kL,Wehdat,,31.931029,35.934223,20,,
ClqTYTYMXoPu2zExp7pc,Um Uthaina,,31.973052,35.873248,20,,
CrLcFEukaAMkRFOZy5VJ,Qabatiya,,32.409014,35.27873,20,,
D5qxMKcSjGqyg4RFxv0Q,Almaza,,30.092,31.341,20,,
DQngjNIME0eVID6LGO5l,Taiz Street,,15.335367,44.222589,20,,
Dwzai2beDAaxTzybThU2,Souq Bab Al Madina Mall,,32.0713717,36.0989606,20,,
EHw3xRbVJjLEnNF4iTXN,Al Mahatta,,31.956202,35.9545179,20,,
EKSEaE2vcMfuKjODLAug,Al-Rayyan,,32.02882,35.86724,20,,
ETJVJ82Gopv1XtxdHDvz,Hegaz,,30.11075,31.338,20,,
EcPRwI8mjAhXBYmkQtcf,Al Yasmeen ,,31.91474,35.887865,20,,
EeLTRVv0Gj00OzD6NmIF,Jenin,,32.462313,35.297742,20,,
FraynawDnYyXj7oCCQX2,Khalda,,31.997103,35.846956,20,,
G92G0njOM9dTArKQJALt,Hashemite University,,32.087974,36.18786,20,,
GeiHozEqA8zR0UrOKaO3,Tulkarem Al-Balad ,,32.309868,35.026925,20,,
Gm9yeMbGzpaARsxtd3YW,AL Rihan,,31.951574,35.183972,20,,
H2XygyDL5uG5iSp5esC6,Tulkarem,,32.316877,35.0326,20,,
H8lbUw3OUJHfNwbTcfV0,Mokattam,,30.008,31.314,20,,
HTk7xARW8WnSdPwWn7Te,Zamalek,,30.059,31.217,20,,
Hkps5DNNHnL4a9i3SPhp,Taj Mall,,31.941092,35.888214,20,,
IBVVhOYnvLdeczKWbv5s,Sheikh zayed,,30.03,31.001,20,,
IJSWyy0Zek2MyEXWiS9s,Sporting,,31.211,29.932,20,,
IfRICvlfhZXq46cO1kYO,Tareq (Tabarbour),,32.003391,35.93711,20,,
JN7K9OplhyV3t1NzqIT7,Taiz,,13.578146,44.011681,20,,
JRx1G2teoDP7m1iusD8M,Souq Al Khodar,,31.864538,35.957716,20,,
JUWq1i8Onut4rdyPS7Cc,Amman,,31.951907,35.93312,20,,
JbG8ubEgnagD7ZqM0CZ0,Nasr City,,30.063,31.344,20,,
KhGjcpWeslKwSNi59HGZ,Eidoon,,32.533613,35.852224,20,,
LIZeuX6IPubfbI3SkvCD,Dura,,31.505953,35.035079,20,,
MNokSYyfWcbbPct8VAfj,Marka,,31.98077756,35.98577213,20,,
