ATMS/id,ATMS/name,ATMS/district,ATMS/latitude,ATMS/longitude,ATMS/zoom
06B4rW0CJf7lGdYd2P0n,EZZ STEEL FACTORY,,31.119446,29.802036,20
0CzR8FN3WYN2KKxKitqa,MODERN SCHOOL OF EGYPT,,30.003105,31.456575,20
0G0Ql3SSTfPkaNVjCDTf,Gardens Hospital,,31.98569,35.87789,20
0Or6Gx93lxsJEKEikKpl,AL Sultan gas station,,31.763581,35.281326,20
0UqtD3LBUJKSYYFP060L,CAIRO POULTRY COMPANY,,30.248391,31.734009,20
0WG1nS8jCbjz6uGtQmWX,Irbid Eidoun,,32.533613,35.852224,20
0lMmlP8w87MYBeEL9jQS,New Cairo Branch ATM 2,,30.020714,31.42066,20
0wnuOyrL86veDGI59bvR,Sin El -Fil ,,33.872908,35.541759,20
0zRVlsQ1DOzXah6wCWFD,Bethany branch 2,,31.769551,35.255889,20
1AC96nRXkHS76VC23wWp,MSE SCHOOL,,30.0375058,31.4294355,20
1EVxCBEuE0xRta1kyM2F,7 11,,31.976148,35.890213,20
1FPsBzIhFlaCwyy7wDd6,Bravo supermarket,,31.895121,35.204916,20
1MaMq4RO9vD9AMGtGEGd,Consolidated Consitants Group,,31.95485,35.897481,20
1Sl8fxkiMABFPePrvWU8,Alwatanya towers,,31.901807,35.211074,20
1iWfQUQ6bevX0T7T4w4x,Samsung Showroom,,33.93643,35.590123,20
1uj4oya0AUpuYx4WLdsc,Zed Park 2,,30.0433369,30.9928725,20
1ylUKisSwJiifM8fytZX,Amman,,31.951907,35.93312,20
22iLgLM3QezGkNo1aWFr,City Stars 2,,30.073471,31.346222,20
27TcJSGVwURt7XBVW9rD,Askar,,32.215025,35.283183,20
2EEPRHljatX2eStW9ojh,Rasheed Hospital,,31.972035,35.834233,20
2EPLoHpe0HUkTdHxcoFE,Shaikh Othman,,12.872158,44.988558,20
2Eq1YpicvWtO9R7HtXHS,Manaseer Makra,,31.995557,36.019471,20
2UwGS48oRNFajLVjtEWG,Safeway Shafa Badran,,32.0425915,35.9027577,20
2k9Sp3IDqlmM9GWt6s7V,Dura,,31.505953,35.035079,20
2onI690bxDDnNSLJWUpX,KHBP,,31.972,35.834,20
3JShpCd2vRiToMihhQEI,British chemicals company,,29.9227193,30.9080581,20
3QiHAP17LmdeRQTMBP02,Ramallah Al Balad,,31.904795,35.197116,20
3yHq5CTWf8uP6abuWvCU,Maadi branch ATM,,29.956518,31.261116,20
3zRP9uLPFDwbOHWu0RTX,Hebron ,,31.53393,35.089291,20
40GyfpPpt07WcIlfqxbC,Jordan Hospital,,31.960628,35.900198,20
41LsMXz5YMoxAgLDpO9t,Specialty Hospital,,31.978747,35.900375,20
42W6Wm9X18DW4eIjuHbd,Ayla,,29.5482455,34.9893038,20
45h3sQ6PRU60bLL13s4T,Al-Najah Uni.,,32.220462,35.243905,20
46sAGCb8VHCO9K32q5ZJ,Al Doha,,31.699904,35.178894,20
4Cv7MjX2Touw8cuR0jEX,Hodidah,,14.802932,42.943282,20
4h7jsIHru8LzTpv1ESpz,Beithlehem branch 2,,31.70766,35.20512,20
4poJINBuxuDZfNN5heMp,Al-Kafreeyat ,,32.306613,35.028663,20
535pg5BzvXHKTq440DqJ,Sweileh,,32.022049,35.84226,20
58JhL6jDuGod9ve6O8Dz,National Express,,31.980785,35.824842,20
5CGUy5AbsBmPZvtszYe3,Jenin branch 2,,32.462313,35.297742,20
5DsQE1mLSPWeslKWdGOJ,Tagamoaa 5,,30.017363,31.420746,20
5ZSNZXqPZvAVWN8W0Iy8,NOZHA BRANCH ,,30.081249,31.340328,20
5hqKO0uNk6IjFwR7kJLh,Madineh Munawara 2,,31.99739,35.871515,20
5kS4MEUWze7uHIsHwFpO,Safeway - Shmeisani,,31.981925,35.894469,20
5nJoq05SJpIZi9aj9sgz,Palestine Medical Center,,31.8990392,35.2060111,20
5qfXqtr1dy9vuFPdJZrS,Fawry Khousos,,30.0202987,31.0035038,20
68hD2KhK4sg5koK4IwVR,Jopetrol  Markazeya/Drive Thru ATM,,31.9859383,35.8665808,20
6FqNjdLPnuZ3CJh5glpa,Total gas station Sammnoud,,30.969505,31.224731,20
6WkP4LvkCfmIt69PvcdX,Hikme Pharmaceutical 2,,31.94903539,35.85025638,20
7GIYxacYShCeTU4pRJUv,ALMAZA BRANCH,,30.092537,31.341675,20
7IQIOX5UUOBnw26buNHH,Nozha school,,30.152172,31.437115,20
7IskzkEXGHKXZ61NR1q6,Bethany ,,31.769551,35.255889,20
