Id,name,address,countryid,cityid,map,phoneNo,description,branch,atms,ccdms,mon_openingtime,mon_closingtime,tue_openingtime,tue_closingtime,wed_openingtime,wed_closingtime,thrus_openingtime,thrus_closingtime,fri_openingtime,fri_closingtime,sat_openingtime,sat_closingtime,sun_openingtime,sun_closingtime,published,status,statustime
10,Abu Dhabi Branch,"Al Bateen Street , Abu Dhabi",1,1,"{""lat"":24.467980883065035,""lng"":54.338349918730294}",600544440,"<p>CBI Bank, Al Bateen Street , Near Corniche</p>
<p>Landmark: Sheikha Fatima Park</p>
<p>Abu Dhabi</p>
<p><span>24/7 ATM and CCDM</span></p>",true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
13,Al Ain Electronic Banking Unit,Al Ain Mall,1,3,"{""lat"":24.2217416,""lng"":55.7817144}",600544440,"<p>Al Ain Mall EBU</p>
<p>Electronic Banking Unit</p>
<p><span>24/7 ATM and CCDM</span></p>
<p> </p>",true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
14,Dubai Main Branch,"Al Riqqa Street, Deira, CBI Building",1,4,"{""lat"":25.265082,""lng"":55.319831}",04 503 9000,<p><span>24/7 ATM and CCDM</span></p>,true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
26,Dubai Mall Branch,"Dubai Mall – unit no. TDM-LG-150, Banking Area Fanancial Centre Road",1,4,"{""lat"":25.198588,""lng"":55.279507}",04 503 9000,"<p>Branch, CCDM, ATM</p>
<p> </p>
<p><strong>Opening Hours </strong></p>
<p>Monday - Saturday (10:00 am - 9:30 pm) </p>
<p>Friday (4:00 pm - 10:00 pm)</p>
<p>Teller Service Timings </p>
<p>10:00 am - 9:00 pm </p>
<p> </p>
<p>Sunday Closed</p>",true,true,true,10:00:00,21:30:00,10:00:00,21:30:00,10:00:00,21:30:00,10:00:00,21:30:00,16:00:00,21:30:00,10:00:00,21:30:00,00:00:00,00:00:00,true,open,21:30:00
18,Julphar Towers Branch,"Shops Nos. 1,2,3, & 4 - Ground Floor Julphar Towers Shopping Center, Al Hesen Street",1,6,"{""lat"":25.791246,""lng"":55.959828}",04 503 9000,<p><span>24/7 ATM and CCDM</span></p>,true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
16,Jumeirah Branch,,1,4,"{""lat"":25.229203758598434,""lng"":55.26158599322985}",600544440,"<p>Jumeirah Street,</p>
<p>Jumeirah 1,</p>
<p>P O Box 4449,</p>
<p>Telephone 600544440</p>
<p><span>24/7 ATM and CCDM</span></p>",true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
78,Marinascape Community Mall,"Dubai, Marinascape Community Mall, Marina",1,4,"{""lat"":25.0824929,""lng"":55.14662430000001}",600544440,<p>ATM </p>,false,true,false,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,,,10:00:00,22:00:00,true,open,22:00:00
20,Sharjah Buhaira Branch,Al Dana Tower Buhaira Corniche -151 Corniche St - Al Majaz 3,1,7,"{""lat"":25.3317382,""lng"":55.3761628}",04 503 9000,<p><span>24/7 ATM and CCDM</span></p>,true,true,true,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,07:30:00,12:30:00,08:00:00,15:00:00,00:00:00,00:00:00,true,open,15:00:00
2,Sharjah Electronic Banking Unit,"Business Tower, Al Majaz 2, Sharjah",1,7,"{""lat"":25.3296715,""lng"":55.39127999999999}",600544440,"<p>Business Tower, - Al Majaz 2, Sharjah</p>",false,true,true,01:00:00,23:59:59,01:00:00,23:59:59,01:00:00,23:59:59,01:00:00,23:59:59,01:00:00,23:59:59,01:00:00,23:59:59,01:00:00,23:59:59,true,open,23:59:59
77,Tasheel Platinum Office,"Dubai, Sheikh Zayed Road, opposite Dubai Mall Metro Station",1,4,"{""lat"":25.2016652,""lng"":55.26763159999999}",600544440,<p>Tasheel Platinum Office</p>,false,true,true,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,,,,,08:00:00,20:00:00,true,open,20:00:00
