id,area,city,city_cd,address,phone,shop_name,shop_type,shop_rank,brand_ids,image,latitude,longitude,annot,msg_title,fair,fair_url
20297,Dubai,Dubai,Dubai,"Ground Floor,Al Ghurair Center",97142525217,G-Shock Casio Store,,A,"{1,2,4,5,6}","{'','','','','','','','','',''}",25.267317,55.317646,,,,
23025,Ajman,Ajman,Ajman,"First Floor,Ajman City Center",97167421324,G-SHOCK store,,A,"{1,2,4,5,6}","{'','','','','','','','','',''}",25.399622,55.479306,,,,
23034,Dubai,Dubai,Dubai,"Second Floor,Deira City Centre",97142976632,G-SHOCK store,,A,"{1,2,4,5,6,8}","{'','','','','','','','','',''}",25.251966,55.332803,,,,
23038,Sharjah,Sharjah,Sharjah,"First Floor,Sharjah City Centre",971566899296,G-SHOCK store,,A,"{1,2,4,5,6}","{'','','','','','','','','',''}",25.324785,55.393612,,,,
119976,Dubai,Dubai,Dubai,"Ground Floor,Ibn Battuta Mall",97142766169,G-SHOCK store,,A,"{1,2,4,5,6}","{'','','','','','','','','',''}",25.044547,55.120297,,,,
119977,Dubai,Dubai,Dubai,"Second Floor,Dubai Mall",97143320232,G-SHOCK store,,A,"{1,2,4,5,6,23}","{'','','','','','','','','',''}",25.1972244250156,55.2797446632198,,,,
119985,Abu Dhabi,Abu Dhabi,Abu Dhabi,"First Floor,Al Wahda Mall",'971566343696,G-SHOCK store,,A,"{1,2,4,5,6}","{'','','','','','','','','',''}",24.4699554401605,54.3724457079216,,,,
23014,Abu Dhabi,Abu Dhabi,Abu Dhabi,"First Floor, Al Wahda Mall",056-188 1580,CASIO Kisok,,,"{1,2,4,5,6}","{'','','','','','','','','',''}",24.470133,54.372758,,,,
20272,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Ground Floor,Khalidiya Mall",971502733734,CASIO store,,A-,"{1,2,4,5,6}","{'','','','','','','','','',''}",24.469963,54.351768,,,,
19388,Abu Dhabi,Abu Dhabi,Abu Dhabi,Yas Mall, +971 2 565 1319,Virgin Mega store,,D,{8},"{'','','','','','','','','',''}",24.488618,54.608788,,,,
20257,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Ground Floor, Bawadi Mall",03-7840854,The Watch House,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",24.160382,55.807908,,,,
20258,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Al Wahda Mall",,Virgin Megastore,,D,"{1,2}","{'','','','','','','','','',''}",24.470133,54.372758,,,,
20259,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Abu Dhabi Mall",,Virgin Megastore,,D,"{1,2}","{'','','','','','','','','',''}",24.495924,54.383226,,,,
