atmLocations/atmLocationId,atmLocations/name,atmLocations/site,atmLocations/coordinate,atmLocations/emirate,atmLocations/location,atmLocations/status,atmLocations/atmType
0e857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Airport road ATM 1,Public,"24.471425,54.368994",Abu Dhabi,"In Al Dhabi Tower, opposite to the Al Wahda Mall, Airport Road.",,RAKBANK
0d857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Airport road ATM 2,Public,"24.471425,54.368993",Abu Dhabi,"In Al Dhabi Tower, opposite to the Al Wahda Mall, Airport Road.",,RAKBANK
1b857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Mall,Public,"24.495892,54.383107",Abu Dhabi,ATM located next to the Cineplex at the second floor.,,RAKBANK
1a857ed2-1d22-ec11-93a7-8086f2aa5252,Abu-Dhabi Central Souk,Public,"24.489511,54.355996",Abu Dhabi,ATM located next to the KM  Daily outlet at the ground floor. ,,RAKBANK
2d30cce2-93aa-463d-aac3-51b0c90d0999,Accuro ACCURO SPECIALIST SUPPORT SERVICES Jabel Ali,Not open to public,"25.007618,55.1318216",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
1c857ed2-1d22-ec11-93a7-8086f2aa5252,ADNOC Petrol Station: Najda Street,Public,"24.489463,54.371158",Abu Dhabi,"The ATM  located inside the petrol station, Fatima Bint Mubarak street, opposite to the Al Raha hospital.",,RAKBANK
21857ed2-1d22-ec11-93a7-8086f2aa5252,Ajman City Centre,Public,"25.399387, 55.478674",Ajman,ATM located at the ATM lobby of the north entrance ,,RAKBANK
d292ce2a-baf7-4c4e-a278-66b6f0418b89,Al Ahalia Exchange Fujerah ,Public,"25.1249363,56.3452778",Fujairah,near Emirates Trade Center,,C3Pay
3618ebfb-6ddf-4386-8e07-0de7b7a26a8a,Al Ahalia Exchange IND 3 Al Qouz,Public,"25.156531,55.2456859",Dubai,Al Qouz Ind. Area 3 Dubai,,C3Pay
c6eba420-b01c-4a09-8769-0fd9c1ab8199,Al Ahalia Exchange Ras Al Khaimah,Public,"25.7951358,55.9763972",Ras Al Khaimah,near by Nesto,,C3Pay
