data/name,data/address1,data/address2,data/address3,data/country,data/lat,data/lng,data/phoneNumber,data/faxNumber,data/information,data/type,data/externalLocationId,data/locationId
Abu Dhabi Main Business Center,"Etisalat Main Building (T&A), Airport Road,",Abu Dhabi,,,24.479966,54.360195,,,Working Hours:<br>Monday to Thursday: 08am - 05pm<br>Friday: 08am - 12am<br>Saturday: 08am - 05pm<br>Sunday: Closed <br>Consumer & business services,BusinessCenter,202201,202201
Dalma Mall,"Inside Dalma Mall, 19th Street, Musaffah",Abu Dhabi,,,24.332037,54.524104,,,Working Hours:<br>Monday to Thursday: 10am - 10pm<br>Friday: 10am - 12am<br>Saturday: 10am - 12am<br>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,202202,202202
Yas Mall,"Inside Yas Mall, Abu Dhabi, Yas Island, Opposite to IKEA",Abu Dhabi,,,24.48759281,54.60896551,,,Working Hours:<br/>Monday to Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,202203,202203
Marina Mall,"Inside Marina Mall,",Abu Dhabi,,,24.476312,54.321536,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,202204,202204
Salam Business Center,"Etisalat Building, Al Salam Street, Abu Dhabi Near Municipality Ground and 1st floor",Abu Dhabi,,,24.489969,54.375493,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12am<br/>Saturday: 08am - 05pm<br/>Sunday: closed<br>Consumer & business services,BusinessCenter,202205,202205
Mafraq Business Center,"Etisalat Building, Al Mafraq Street, Baniyas East,",Abu Dhabi,,,24.31227938,54.60535794,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12am<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,202206,202206
Mushriff Mall,"Inside Mushrif Mall, Airport Road",Abu Dhabi,,,24.434692,54.41256,,,Working Hours:<br>Monday to Thursday: 10am - 10pm<br>Friday: 10am - 12am<br>Saturday: 10am - 12am<br>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,202207,202207
Al Wahda Mall - First Floor,"Inside Al Wahda Mall, Hazza Bin Zayed Street, Old Airport Road, Al Wahda,",Abu Dhabi,,,24.47037808,54.37288553,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,202208,202208
Abu Dhabi Mall,"Insida Abu Dhabi Mall, Next to The Beach Rotana Hotel",Abu Dhabi,,,24.495914,54.383217,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 11pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,202209,202209
Mazyed Mall,"Inside Mazyed Mall, 28th Street, near Mussaffah,",Abu Dhabi,,,24.37317275,54.53792989,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,2022010,2022010
