Location,Branch Name,URL,Latitude,Longitude
"Abu Dhabi, United Arab Emirates",ADCO Digital branch (no teller services),"https://www.google.com/maps/dir//'24.474008,54.343572'/@24.474008,54.343572,10z","24.474008,54.343572",
"Abu Dhabi, United Arab Emirates",ADIA Cash Office,"https://www.google.com/maps/dir//'24.48586,54.351608'/@24.48586,54.351608,10z","24.48586,54.351608",
"Al Ain, United Arab Emirates",Al Ain Defense Cash Office - UAE Armed Forces Camp,"https://www.google.com/maps/dir//'24.192294,55.785447'/@24.192294,55.785447,10z","24.192294,55.785447",
"Sharjah, United Arab Emirates",Al Dhaid Branch - 2 ATMs,"https://www.google.com/maps/dir//'25.28512,55.88042'/@25.28512,55.88042,10z","25.28512,55.88042",
"Sharjah, United Arab Emirates",Al Madam Branch - 2 ATMs,"https://www.google.com/maps/dir//'24.915492,55.775622'/@24.915492,55.775622,10z","24.915492,55.775622",
"Abu Dhabi, United Arab Emirates",Mushrif Mall Branch - 4 ATMs,"https://www.google.com/maps/dir//'24.433856,54.41214'/@24.433856,54.41214,10z","24.433856,54.41214",
"Dubai, United Arab Emirates",Dubai Health Care City Branch - 2 ATMs,"https://www.google.com/maps/dir//'25.22908,55.3227'/@25.22908,55.3227,10z","25.22908,55.3227",
"Dubai, United Arab Emirates",Dubai Hills Mall - Digital branch (no teller services),"https://www.google.com/maps/dir//'25.103874,55.239487'/@25.103874,55.239487,10z","25.103874,55.239487",
"Ajman, United Arab Emirates",FAB Islamic Ajman Window,"https://www.google.com/maps/dir//'25.40684,55.444068'/@25.40684,55.444068,10z","25.40684,55.444068",
"Al Ain, United Arab Emirates",FAB Islamic Al Ain branch,"https://www.google.com/maps/dir//'24.22413,55.75898'/@24.22413,55.75898,10z","24.22413,55.75898",
"Al Ain, United Arab Emirates",FAB Islamic Al Ain Civic Center Window,"https://www.google.com/maps/dir//'24.238784,55.731574'/@24.238784,55.731574,10z","24.238784,55.731574",
"Dubai, United Arab Emirates",FAB Islamic Avenue Mall branch,"https://www.google.com/maps/dir//'25.1441966092151,55.3470603002587'/@25.1441966092151,55.3470603002587,10z","25.1441966092151,55.3470603002587",
"Abu Dhabi, United Arab Emirates",FAB Islamic Baniyas Window,"https://www.google.com/maps/dir//'24.286381,54.642434'/@24.286381,54.642434,10z","24.286381,54.642434",
"Abu Dhabi, United Arab Emirates",FAB Islamic Business Park branch - 3 ATM's,"https://www.google.com/maps/dir//'24.42869,54.46527'/@24.42869,54.46527,10z","24.42869,54.46527",
"Sharjah, United Arab Emirates",FAB Islamic Dhaid Window,"https://www.google.com/maps/dir//'25.28512,55.88042'/@25.28512,55.88042,10z","25.28512,55.88042",
"Fujairah, United Arab Emirates",FAB Islamic Fujairah Window,"https://www.google.com/maps/dir//'25.121519,56.347507'/@25.121519,56.347507,10z","25.121519,56.347507",
"Ras Al Khaimah, United Arab Emirates",FAB Islamic Ras Al Khaimah branch,"https://www.google.com/maps/dir//'25.79223,55.96788'/@25.79223,55.96788,10z","25.79223,55.96788",
"Abu Dhabi, United Arab Emirates",FAB Islamic Shahama Window,"https://www.google.com/maps/dir//'24.526115,54.676445'/@24.526115,54.676445,10z","24.526115,54.676445",
"Sharjah, United Arab Emirates","FAB Islamic Al Jada Branch, Sharjah","https://www.google.com/maps/dir//'25.3183901,55.4685017'/@25.3183901,55.4685017,10z","25.3183901,55.4685017",
"Dubai, United Arab Emirates",Jebel Ali Branch - 2 ATMs,"https://www.google.com/maps/dir//'24.967244,55.078258'/@24.967244,55.078258,10z","24.967244,55.078258",
"Dubai, United Arab Emirates",Jumeirah Plaza Branch (2 ATMs) - Digital branch (no teller services),"https://www.google.com/maps/dir//'25.229741,55.262073'/@25.229741,55.262073,10z","25.229741,55.262073",
"Abu Dhabi, United Arab Emirates",Masdar City Branch - Digital branch (no teller services),"https://www.google.com/maps/dir//'24.426897,54.618356'/@24.426897,54.618356,10z","24.426897,54.618356",
"Dubai, United Arab Emirates",Rolex Tower Branch - 2 ATMs,"https://www.google.com/maps/dir//'25.209834,55.275248'/@25.209834,55.275248,10z","25.209834,55.275248",
"Fujairah, United Arab Emirates",Sheikh Khalifa Hospital,"https://www.google.com/maps/dir//'25.623225,55.839686'/@25.623225,55.839686,10z","25.623225,55.839686",
"Abu Dhabi, United Arab Emirates",ZADCO Cash Office,"https://www.google.com/maps/dir//'24.498804,54.367164'/@24.498804,54.367164,10z","24.498804,54.367164",
"Abu Dhabi, United Arab Emirates",Al Sahel Blocks,"https://www.google.com/maps/dir//'25.147511,52.878946'/@25.147511,52.878946,10z","25.147511,52.878946",
"Abu Dhabi, United Arab Emirates",FAB Commercial FAB One Tower,"https://www.google.com/maps/dir//'24.491991,54.361368'/@24.491991,54.361368,10z","24.491991,54.361368",
"Abu Dhabi, United Arab Emirates",FAB Commercial Corniche Branch,"https://www.google.com/maps/dir//'24.472689,54.341044'/@24.472689,54.341044,10z","24.472689,54.341044",
"Abu Dhabi, United Arab Emirates",Yas Mart,"https://www.google.com/maps/dir//'24.327947,54.644215'/@24.327947,54.644215,10z","24.327947,54.644215",
"Abu Dhabi, United Arab Emirates",Armed Forces Co-op Society - Sweihan,"https://www.google.com/maps/dir//'24.439056,54.518539'/@24.439056,54.518539,10z","24.439056,54.518539",
"Abu Dhabi, United Arab Emirates",Aaliyah Plaza Hypermarket,"https://www.google.com/maps/dir//'24.351759,54.498152'/@24.351759,54.498152,10z","24.351759,54.498152",
"Dubai, United Arab Emirates",Abu Baker Al Siddique Branch - 5 ATMs,"https://www.google.com/maps/dir//'25.26462,55.330163'/@25.26462,55.330163,10z","25.26462,55.330163",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Bus Station,"https://www.google.com/maps/dir//'24.4707,54.376544'/@24.4707,54.376544,10z","24.4707,54.376544",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Chamber of Commerce and Industry,"https://www.google.com/maps/dir//'24.488684,54.352686'/@24.488684,54.352686,10z","24.488684,54.352686",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Edition Hotel,"https://www.google.com/maps/dir//'24.452392,54.33657'/@24.452392,54.33657,10z","24.452392,54.33657",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Fund for Development,"https://www.google.com/maps/dir//'24.456731,54.335836'/@24.456731,54.335836,10z","24.456731,54.335836",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Investment Council,"https://www.google.com/maps/dir//'24.456191,54.400966'/@24.456191,54.400966,10z","24.456191,54.400966",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Mall Branch - 2 ATMs,"https://www.google.com/maps/dir//'24.495753,54.382834'/@24.495753,54.382834,10z","24.495753,54.382834",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Media Company,"https://www.google.com/maps/dir//'24.459834,54.385937'/@24.459834,54.385937,10z","24.459834,54.385937",
"Abu Dhabi, United Arab Emirates",Abu Dhabi Shipping Building - ADSB,"https://www.google.com/maps/dir//'24.355979,54.465719'/@24.355979,54.465719,10z","24.355979,54.465719",
"Al Dhafra Region, United Arab Emirates",ADCO - Asab,"https://www.google.com/maps/dir//'23.301817,54.220613'/@23.301817,54.220613,10z","23.301817,54.220613",
"Al Dhafra Region, United Arab Emirates",ADCO - Bu Hasa,"https://www.google.com/maps/dir//'23.550927,53.297199'/@23.550927,53.297199,10z","23.550927,53.297199",
"Al Dhafra Region, United Arab Emirates",ADCO - Habshan,"https://www.google.com/maps/dir//'23.847409,53.636397'/@23.847409,53.636397,10z","23.847409,53.636397",
"Al Dhafra Region, United Arab Emirates",ADCO - Neb Field Dabi'ya,"https://www.google.com/maps/dir//'24.30586,54.113438'/@24.30586,54.113438,10z","24.30586,54.113438",
"Abu Dhabi, United Arab Emirates",ADDC - Head Office,"https://www.google.com/maps/dir//'24.483541,54.3783'/@24.483541,54.3783,10z","24.483541,54.3783",
"Abu Dhabi, United Arab Emirates",ADDC - Madinat Zayed,"https://www.google.com/maps/dir//'24.483092,54.363846'/@24.483092,54.363846,10z","24.483092,54.363846",
"Abu Dhabi, United Arab Emirates",ADMA,"https://www.google.com/maps/dir//'24.495696,54.364225'/@24.495696,54.364225,10z","24.495696,54.364225",
"Abu Dhabi, United Arab Emirates",ADNEC,"https://www.google.com/maps/dir//'24.419164,54.438285'/@24.419164,54.438285,10z","24.419164,54.438285",
"Al Dhafra Region, United Arab Emirates",ADNOC - Accomodation Complex Liwa,"https://www.google.com/maps/dir//'23.121898,53.878739'/@23.121898,53.878739,10z","23.121898,53.878739",
"Dubai, United Arab Emirates",ADNOC - Al Jaflia,"https://www.google.com/maps/dir//'25.232065,55.285095'/@25.232065,55.285095,10z","25.232065,55.285095",
"Ajman, United Arab Emirates",ADNOC - Al Reqayeb,"https://www.google.com/maps/dir//'25.404575,55.505689'/@25.404575,55.505689,10z","25.404575,55.505689",
"Abu Dhabi, United Arab Emirates",ADNOC Cash Office,"https://www.google.com/maps/dir//'23.121898,53.878739'/@23.121898,53.878739,10z","23.121898,53.878739",
