branches/branchid,branches/compid,branches/longitute,branches/latitude,branches/locationtext,branches/branchatmtitletext,branches/atmbranch,branches/addresstext,branches/phoneno,branches/weekdayworkhours,branches/facilitiesavailable,branches/enableDisability,branches/disability
SDU8185,Conrad Hotel Dubai,55.2840900,25.2256600,Conrad Hotel Dubai,Conrad Hotel Dubai,ATM,"Conrad Hotel Dubai Ground Floor , Sheikh Zayed Road - Opposite to The World Trade Centre, Museum Of The Future , Dubai , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address,1,Disability friendly access
SCU8149,Madina Mall,55.3982600,25.2820500,Madina Mall,Madina Mall,ATM,"Ground floor , Madina Mall , Al Qusais , Dubai UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address,1,Disability friendly access
SCU0502,Abu Dhabi Main Branch,54.5991750,24.4401170,Abu Dhabi Main Branch,Abu Dhabi Main Branch,ATM,"Ground Floor, Blue Tower, Khalifa St. near Lake park, corniche road, 01st street, Abudhabi",04/4244444,24/7,"# Cash & Cheque Deposit # Bulk Cheque Deposit # Bill Payment # Cash and cardless Withdrawals, AED, USD, EUR # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # collections payments #  update mobile number & address # Financial summary   #Account statement request ",1,Disability friendly access
SDU0557,"Al Fardan Exchange, Musaffah",54.517534,24.373205,"Al Fardan Exchange, Musaffah","Al Fardan Exchange, Musaffah",ATM,"Al Firdaus Building no. 41, Sanaya Mussafah, Tel:- 02-5555928 Timings:- 8.30am - 8.30pm",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8233,Al Fardan Exchange Sanaya,53.7282100,23.6591300,Al Fardan Exchange Sanaya,Al Fardan Exchange Sanaya,ATM,"Ground floor , Fardan Exchange Sanaya Beda Zayed , behind jas supermarket , Al Dirkah street , zayad city industrial area , Abu Dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8162,Al Ghurair Exchange Al Ain,55.83477,24.1416850,Al Ghurair Exchange Al Ain,Al Ghurair Exchange Al Ain,ATM,"Ground Floor, Areej Al Madeena Hypermarket branch 3 building , Emirates driving school , 71st street Al Noud companies camps  , Al Ain , Abu Dhabi UAE",04-4244444,24/7,# Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,,Disability friendly access
SDU8227,Baniyas Spike Hypermarket,53.7294500,23.6613500,Baniyas Spike Hypermarket,Baniyas Spike Hypermarket,ATM,"Ground floor , Baniyas Spike Hypermarket , zayad city industrial area behind Big mart, Abu Dhabi , UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8269,Falak Al Madeena Musaffah,54.4905400,24.3522500,Falak Al Madeena Musaffah,Falak Al Madeena Musaffah,ATM,"Ground floor , Ad doja 2nd street , Musaffah - Musaffah Industrial area 40 - Abu Dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8245,Joyallukas Al Ain,55.7693000,24.2225200,Joyallukas Al Ain,Joyallukas Al Ain,ATM,"Ground floor , Joyalukkas Exchange , 17th Asyout Street ,central district ,Abu Dhabi, UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8209,K.M Hypermarket ICAD,54.4864400,24.3456200,K.M Hypermarket ICAD,K.M Hypermarket ICAD,ATM,"Ground floor, K.M Hypermarket ICAD residence , Gate 2 opposite ,Musaffah, Abu dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8272,Millennium Rawdah Hotel Abu Dhabi,54.4563900,24.4214600,Millennium Rawdah Hotel Abu Dhabi,Millennium Rawdah Hotel Abu Dhabi,ATM,"Ground floor ,Millennium Rawdah Hotel, 1778 Sheikh Rashid Bin Saeed St - Al Rawdah - W68 - Abu Dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU0238,NBB Worker'S City,54.4271000,24.1544000,NBB Worker'S City,NBB Worker'S City,ATM,"Mojumaat Hameem Which Is 60 Km, West Of Abu Dhabi",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8267,New Abu Dhabi Airport Airside Departure (Travelex Exchange),54.6508000,24.4426600,New Abu Dhabi Airport Airside Departure (Travelex Exchange),New Abu Dhabi Airport Airside Departure (Travelex Exchange),ATM,"New Abu Dhabi Airport Airside  - Departure next to Travelex Exchange , Al Matar road  , Abu Dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8266,New Abu Dhabi Airport Landside Departure (Lulu Exchange),54.6496800,24.4419500,New Abu Dhabi Airport Landside Departure (Lulu Exchange),New Abu Dhabi Airport Landside Departure (Lulu Exchange),ATM,"New Abu Dhabi Airport Landside - Departure next to Lulu Exchange , Al Matar road  , Abu Dhabi , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
