priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
1,4634,JEDDAH,21.446337,39.20117,Petromin district. Al-Mahjar St. infront of Al-Rajhi Bank,"حي بترومين , شارع المهجر, مقابل بنك الراحجي",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
2,4635,TAIF,21.287043,40.41868,Al-Obaikan Mall,مول العبيكان,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
3,4636,RANYAH,21.24951,42.85301,"Main  St. Telecom center, Rania Mall",الشارع العام رنيه مجمع الاتصاالاتصالات برنيه ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 09:00 PM,السبت - الخميس: 09:00 ص - 09:00 م ,,,
4,4637,RIYADH,24.595308,46.67958,"Sowaidi, sowidi Main street ",شارع السويدي العام بجانب شركة تايوتا,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
5,4638,AL DUWADIMI,24.503338,44.38745,Al Dwadmi Main Rd,طريق الملك عبدالعزيز بجانب ادارة التعليم,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
6,4639,RIYADH,24.733576,46.81533,Al Naseem- Saad Ibin Abi Waqas (40 St.),النسيم شارع الاربعين سابقا سعيد الخدري حاليا,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
7,4640,RIYADH,24.606337,46.75729,Al Mansourah district southren ring Rd.,المنصوره بجانب نادي بدي ماستر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
8,4641,RIYADH,24.747166,46.68287,Mursalat Area. In front of Mursulat Center,حي المرسلات مقابل سوق المرسلات,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
9,4642,AR RASS,25.869234,43.505867,"Al-Souk district beside Al Ras Mall, ",الرس السوق بجوار الرس مول ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
10,4643,AN NABHANIYAH,25.864166,43.064148,"King AbdulAziz Street, beside Al-Rajwol place",طريق الملك عبدالعزيز - قرب قصر الرجل,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
11,4644,RIYADH,24.688478,46.643375,"Om AL Hamam, prince Nawaf Bin Abdulaziz Str,Othaim Mall ","ام الحمام, شارع الامير نواف بن عبد العزيز , العثيم مول",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
12,4645,BURAYDAH,26.389555,43.92712,"Omar Ebin Al-Khatab St, infront of Fishon resturant",طريق عمر بن الخطاب 1125,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
13,4646,RIYADH,24.629679,46.6927,Al-Emam Abdullaziz Ban Mohammed Road / Al Shomisi,"الشميسي , شارع الامام عبد العزيز بن محمد",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
14,4647,RIYADH,24.750113,46.700638,Abu Baker Al Seddik â Al Mursalat District,حي المرسلات طريق ابو بكر الصديق,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
15,4648,TABUK,28.39965,36.5816,"Sultana Robin Prince Fahd Bin Sultan St, Ibin Nufail Building",حي سلطانه شارع الامير فهد بن سلطان,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
