items/id,items/branchType/tagArea,items/branchType/id,items/branchType/displayName,items/branchType/icon,items/name,items/building,items/areaId/id,items/cityId/id,items/cityId/displayName,items/emirate/tagArea,items/emirate/id,items/emirate/displayName,items/country/id,items/country/displayName,items/latitude,items/longitude,items/tel,items/email,items/openWholeDay,items/facilities/0/tagArea,items/facilities/0/id,items/facilities/0/displayName,items/facilities/0/icon,items/facilities/1/tagArea,items/facilities/1/id,items/facilities/1/displayName,items/facilities/1/icon,items/facilities/2/tagArea,items/facilities/2/id,items/facilities/2/displayName,items/facilities/2/icon,items/facilities/3/tagArea,items/facilities/3/id,items/facilities/3/displayName,items/facilities/3/icon,items/facilities/4/tagArea,items/facilities/4/id,items/facilities/4/displayName,items/facilities/4/icon,items/openTimes/0/closedTime,items/openTimes/0/openedTime,items/openTimes/0/weekDay,items/openTimes/1/closedTime,items/openTimes/1/openedTime,items/openTimes/1/weekDay,items/openTimes/2/closedTime,items/openTimes/2/openedTime,items/openTimes/2/weekDay,items/openTimes/3/closedTime,items/openTimes/3/openedTime,items/openTimes/3/weekDay,items/openTimes/4/closedTime,items/openTimes/4/openedTime,items/openTimes/4/weekDay,items/openTimes/5/weekDay,items/openTimes/6/weekDay,tags/tagArea,tags/id,tags/displayName,items/street,tags/icon,items/openTimes/5/closedTime,items/openTimes/5/openedTime,items/openTimes/6/closedTime,items/openTimes/6/openedTime
986,Types,121282,Branch,apartment,RAKBANK - Elite Center,"Ground Floor ,Empire Heights, Business Bay",121283,82758,Dubai,Emirates,82760,Dubai,82762,United Arab Emirates,25.19206609034605,55.28442761628565,800 4048,contactus@rakbank.ae,false,Facilities,121277,Elite,check_circle,Facilities,121278,Instant Cash Deposit,check_circle,Facilities,121279,Cheque Deposit,check_circle,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,05:00 PM,09:00 AM,Monday,05:00 PM,09:00 AM,Tuesday,05:00 PM,09:00 AM,Wednesday,05:00 PM,09:00 AM,Thursday,05:00 PM,09:00 AM,Friday,Saturday,Sunday,Emirates,82760,Dubai,,,,,,
882,Types,121282,Branch,apartment,RAKBANK - Elite Centre Abu Dhabi,"2nd Floor, Al Jazira Club, Tower A",121283,82771,Abu Dhabi,Emirates,82772,Abu Dhabi,82762,United Arab Emirates,24.4538928,54.3919142,800 4048,contactus@rakbank.ae,false,Facilities,121277,Elite,check_circle,,,,,,,,,,,,,,,,,05:00 PM,09:00 AM,Monday,05:00 PM,09:00 AM,Tuesday,05:00 PM,09:00 AM,Wednesday,05:00 PM,09:00 AM,Thursday,05:00 PM,09:00 AM,Friday,Saturday,Sunday,Emirates,82776,Ras Al Khaimah,"Al Jazira Club, Muroor Road",,,,,
413,Types,121335,Corporate office,apartment,RAKBANK - Ras Al Khaimah Office,"ROC Office,Jazeera",121283,82775,Ras Al Khaimah,Emirates,82776,Ras Al Khaimah,82762,United Arab Emirates,25.7082105,55.8666784,04 213 0000,contactus@rakbank.ae,false,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,06:00 PM,08:00 AM,Monday,06:00 PM,08:00 AM,Tuesday,06:00 PM,08:00 AM,Wednesday,06:00 PM,08:00 AM,Thursday,03:00 PM,08:00 AM,Friday,Saturday,Sunday,Emirates,121289,Al Ain,,,,,,
492,Types,121285,ATMs,apartment,RAKBANK ATM - Abu Dhabi Airport road,"Abu Dhabi Airport Road,Opp Al Wahda Mall",121283,82771,Abu Dhabi,Emirates,82772,Abu Dhabi,82762,United Arab Emirates,24.4713355,54.3690029,04 213 0000,contactus@rakbank.ae,true,Facilities,121278,Instant Cash Deposit,check_circle,Facilities,121279,Cheque Deposit,check_circle,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,Emirates,82766,Sharjah,,,,,,
769,Types,121285,ATMs,apartment,RAKBANK ATM - Accuro Specialist Support Services Jebel Ali,Accuro ACCURO SPECIALIST SUPPORT SERVICES Jabel Ali,121283,82758,Dubai,Emirates,82760,Dubai,82762,United Arab Emirates,25.0075385,55.1317979,04 213 0000,contactus@rakbank.ae,true,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emirates,82772,Abu Dhabi,Jabel Ali Ind. Area 1 Dubai,,,,,
463,Types,121285,ATMs,apartment,RAKBANK ATM - ADNOC Petrol Station : Najda Street,"Adnoc Petrol Station, Najda St",121283,82771,Abu Dhabi,Emirates,82772,Abu Dhabi,82762,United Arab Emirates,24.489466,54.371184,04 213 0000,contactus@rakbank.ae,true,Facilities,121278,Instant Cash Deposit,check_circle,Facilities,121279,Cheque Deposit,check_circle,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,Emirates,82863,Ajman,Al Markaziyah,,,,,
564,Types,121285,ATMs,apartment,RAKBANK ATM - Ajman City Center,Ajman City Center,121283,82862,Ajman,Emirates,82863,Ajman,82762,United Arab Emirates,25.399387,55.478674,04 213 0000,contactus@rakbank.ae,true,Facilities,121278,Instant Cash Deposit,check_circle,Facilities,121279,Cheque Deposit,check_circle,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,Emirates,82911,Fujairah,Al Jurf,,,,,
663,Types,121285,ATMs,apartment,RAKBANK ATM - Al Ahalia Exchange Fujairah,"Ground Floor, Al Ahalia Exchange",121283,82910,Fujairah,Emirates,82911,Fujairah,82762,United Arab Emirates,25.1250969,56.3451553,04 213 0000,contactus@rakbank.ae,true,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facilities,121278,Instant Cash Deposit,,check_circle,,,,
661,Types,121285,ATMs,apartment,RAKBANK ATM - Al Ahalia Exchange IND 3 Al Quoz,Al Ahalia Exchange IND 3 Al Quoz,121283,82758,Dubai,Emirates,82760,Dubai,82762,United Arab Emirates,25.1562045,55.2467486,04 213 0000,contactus@rakbank.ae,true,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facilities,121279,Cheque Deposit,,check_circle,,,,
665,Types,121285,ATMs,apartment,RAKBANK ATM - Al Ahalia Exchange RAK,"Al Ahalia Exchange RAK, MD Saeed Houfan Al Mansoori Building, Al Hudaiba",121283,82775,Ras Al Khaimah,Emirates,82776,Ras Al Khaimah,82762,United Arab Emirates,25.7951358,55.9763972,04 213 0000,contactus@rakbank.ae,true,Facilities,121280,Cash Withdrawal,check_circle,Facilities,121281,Enquiries,check_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facilities,121280,Cash Withdrawal,Area ne,check_circle,,,,
