locations/id,locations/name,locations/types/0,locations/address/addressLines/0,locations/address/postalCode,locations/address/latitude,locations/address/longitude,locations/address/placeId,locations/address/city,locations/address/territory,locations/address/district,locations/is-24-hours,locations/status,locations/address/addressLines/1,locations/regularHours/0/openDay,locations/regularHours/0/closeDay,locations/regularHours/0/openTime,locations/regularHours/0/closeTime,locations/regularHours/1/openDay,locations/regularHours/1/closeDay,locations/regularHours/1/openTime,locations/regularHours/1/closeTime,locations/regularHours/2/openDay,locations/regularHours/2/closeDay,locations/regularHours/2/openTime,locations/regularHours/2/closeTime,locations/regularHours/3/openDay,locations/regularHours/3/closeDay,locations/regularHours/3/openTime,locations/regularHours/3/closeTime,locations/regularHours/4/openDay,locations/regularHours/4/closeDay,locations/regularHours/4/openTime,locations/regularHours/4/closeTime,locations/regularHours/5/openDay,locations/regularHours/5/closeDay,locations/regularHours/5/openTime,locations/regularHours/5/closeTime,locations/regularHours/6/openDay,locations/regularHours/6/closeDay,locations/regularHours/6/openTime,locations/regularHours/6/closeTime
130396,Zayed International Airport,atm,Midfield terminal abu dhabi,,24.4514296,54.6421113,ChIJvSjchTJPXj4ReF4Are9ydlE,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114875,Atlantis The Royal,atm,Atlantis The Royal,,25.1390557,55.1279662,ChIJyTL-aggVXz4R4cAwRc0Ydsw,,,,false,open,"Palm Jumeirah, Crescent Rd, The Palm Jumeirah, Dubai",,,,,,,,,,,,,,,,,,,,,,,,,,,,
109484,Jumeirah Village Community,atm,Circle Mall,,25.0660876,55.216083,ChIJuZnW7f1tXz4RVBkrTufK1Qc,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100329,SAE2946 - Nesto Hyper Market,atm,SAE2946 - Nesto Hyper Market,,25.2953338,55.3750495,ChIJMZ9jgkddXz4RRS7KSpsnaI8,,,,false,open,Nesto Hyper Market Al Nahda 2 Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98781,DIFC Gate Avenue Mall,atm,ATM Room between Zone A and Zone B,,25.211318,55.279034,ChIJG7h-uo9CXz4R1pw6Exa8eY0,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95544,Mediclinic Hospital,atm,Mediclinic Hospital,,24.4169497,54.46143159999999,ChIJW4xDSzlCXj4RCrDwDODIRpU,,,,false,open,"Airport Road, Next to Zayed Sports City, Abu Dhabi, UAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
78210,Burjuman Mall – North Wing,atm,Burjuman Mall – North Wing,,25.2547794,55.3029797,,,,,false,open,Near Unicare Medical Center,0,0,07:30 AM,12:00 AM,1,1,07:30 AM,12:00 AM,2,2,07:30 AM,12:00 AM,3,3,07:30 AM,12:00 AM,4,4,07:30 AM,12:00 AM,5,5,07:30 AM,12:00 AM,6,6,07:30 AM,12:00 AM
41212,Dubai Airport,atm,Dubai Airport,,25.2577282,55.3545234,,,,,false,open,"Terminal 2 - Departure, Duty Free, Travelex Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41210,Dubai Airport,atm,Dubai Airport,,25.255036,55.365158,,,,,false,open,"Terminal 1 - Concourse D, Departure, Near Starbucks",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41209,Port Rashid,atm,Port Rashid,,25.2741066,55.2838669,,,,,false,open,"Terminal 3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41183,Jumeirah Beach Hotel,atm,Jumeirah Beach Hotel,,25.1415843,55.189089,ChIJlbJpDVRqXz4RdilKOU6M90c,,,,false,open,Beach Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41182,Medi Clinic,atm,Medi Clinic,,25.067644,55.248873,ChIJVVVVVWJuXz4RWskov-gc-ik,,,,false,open,Park View Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32955,"Atlantis, The Palm",atm,Atlantis hotel Dubai – Restaurant lobby,,25.1304426,55.11714979999999,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16095,KEPCO,atm,Nuclear Power Plant,,23.9681373,52.235137500000064,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Emaar Business Park,branch,"Building #3, Opposite Dubai Internet City (DIC)",,25.0957186,55.16687300000001,,,,,false,open,,1,1,08:00 AM,03:30 PM,2,2,08:00 AM,03:30 PM,3,3,08:00 AM,03:30 PM,4,4,08:00 AM,03:30 PM,5,5,07:30 AM,12:30 PM,6,6,08:00 AM,03:30 PM,,,,
