streetAddress2,desktopHours/desktopHours/Monday,desktopHours/desktopHours/Tuesday,desktopHours/desktopHours/Wednesday,desktopHours/desktopHours/Thursday,desktopHours/desktopHours/Friday,desktopHours/desktopHours/Saturday,desktopHours/desktopHours/Sunday,agentPaymentType,detail.hours/Monday,detail.hours/Tuesday,detail.hours/Wednesday,detail.hours/Thursday,detail.hours/Friday,detail.hours/Saturday,detail.hours/Sunday,sunOpenTime,is_dormant,thuCloseTime,searchName,wedCloseTime,friCloseTime,time_zone,monCloseTime,phone,satOpenTime,s_phone,postal,city,name,NAID,location,latitude,state,streetAddress,thuOpenTime,wedOpenTime,tueOpenTime,bankAccountRequired,streetAddress3,formattedAddress,satCloseTime,friOpenTime,country,locator_id,longitude,sunCloseTime,atmLocation,monOpenTime,tueCloseTime,2CharCountryISO,networkName,type,distance,tzOffset,detail.services/0,detail.services/1,detail.services/2,detail.services/3,detail.services/4,detail.services/5,detail.services/6,id,desktopServices/0/desktopServices/0,desktopServices/0/desktopServices/1,desktopServices/0/desktopServices/2,desktopServices/0/desktopServices/3,desktopServices/0/desktopServices/4,desktopServices/0/desktopServices/5,desktopServices/0/desktopServices/6,CODECL,stage_and_pay,COUNTRY_NAME,orig_id,Spanish_Message,actionFilter,English_Message,services,detailsUrl,sendToCuba,wuAgent,detail.services/7,detail.services/8,detail.services/9,desktopServices/0/desktopServices/7,desktopServices/0/desktopServices/8,desktopServices/0/desktopServices/9
NEAR: LULU HYPERMARKET AL DHAFRA,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30 AM - 11:30 PM,08:30,,23:30,LULU INTERNATIONAL EXCHANGE LLC,23:30,23:30,Asia/Dubai,23:30,(+971) 2-5468133,08:30,97125468133,5379,Madinat Zayed,LULU INTERNATIONAL EXCHANGE LLC,d2dc7817103cee9d1234c77438ca7e4c,"23.638886,53.709053",23.638886,ABU DHABI,Bldg Al Dhafra Mall Musaddar St,08:30,08:30,08:30,N,TRANSACTION LIMITS BY ROM 00937849,"Bldg Al Dhafra Mall Musaddar St, Near: Lulu Hypermarket Al Dhafra, Transaction Limits By Rom 00937849, Madinat Zayed, Abu Dhabi, Ae",23:30,08:30,AE,,53.709053,23:30,N,08:30,23:30,AE,LULU INTERNATIONAL EXCHANGE LL,,27.69,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,f9647780d5463b5389bdda97f3885b30,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED220856,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/madinat-zayed/f9647780d5463b5389bdda97f3885b30,FALSE,FALSE,,,,,,
NEAR JAS SUPERMARKET,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50,,23:59,AL FARDAN EXCHANGE SANAYA BEDA,23:59,23:59,Asia/Dubai,23:59,(+971) 2-8882444,08:50,97128882444,,Abu Dhabi,AL FARDAN EXCHANGE SANAYA BEDA,6224f8898a76dc688257851586a1eb3f,"23.659123,53.728171",23.659123,ABU DHABI,Bldg Mohd Guma Almazroui Al Dirkah St,08:50,08:50,08:50,N,LIMITS BY CMP 749942,"Bldg Mohd Guma Almazroui Al Dirkah St, Near Jas Supermarket, Limits By Cmp 749942, Abu Dhabi, Abu Dhabi, Ae",23:59,08:50,AE,,53.728171,23:59,N,08:50,23:59,AE,AL FARDAN EXCHANGE,,28.76,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,4352e9a263cfad004761f9df5980eb4b,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED420517,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,stageAndPay,stageAndPaySend,stageAndPayReceive",ae/abu-dhabi/abu-dhabi/4352e9a263cfad004761f9df5980eb4b,FALSE,FALSE,Pay for Transfers Started on App,Cash Money Transfer,Pick Up Cash,stageAndPay,stageAndPaySend,stageAndPayReceive
"Near Jass Supermarket,",09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00,,23:00,Lulu International Exchange LLC,23:00,23:00,Asia/Dubai,23:00,(+971) 506258172,09:00,9.71506E+11,,Madinat Zayed,Lulu International Exchange LLC,d2dc7817103cee9d1234c77438ca7e4c,"23.659526,53.727595",23.659526,Abu Dhabi,"Shop No. 8, Al Dhafra St.",09:00,09:00,09:00,N,TRANSACTION LIMITS BY ROM 00937849,"Shop No. 8, Al Dhafra St., Near Jass Supermarket,, Transaction Limits By Rom 00937849, Madinat Zayed, Abu Dhabi, Ae",23:00,09:00,AE,,53.727595,23:00,N,09:00,23:00,AE,LULU INTERNATIONAL EXCHANGE LL,,28.82,240,Cash Money Transfer,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,5b30a3b4962f9f7e103126998644ea4a,moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,8,,United Arab Emirates,AED221451,,,,"moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/madinat-zayed/5b30a3b4962f9f7e103126998644ea4a,FALSE,FALSE,,,,,,
MADINAT ZAYED,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30,,23:00,EMIRATES INDIA INTL EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 2-8840035,08:30,97128840035,7190,Abu Dhabi,EMIRATES INDIA INTL EXCHANGE,baa69c5e8c583d39353a618a046d60f2,"23.659526,53.727593",23.659526,ABU DHABI,Next To Jass Supermarket Madinat Zayed,08:30,08:30,08:30,N,LIMITS BY CMP 00749942,"Next To Jass Supermarket Madinat Zayed, Madinat Zayed, Limits By Cmp 00749942, Abu Dhabi, Abu Dhabi, Ae",23:00,08:30,AE,,53.727593,23:00,N,08:30,23:00,AE,EMIRATES INDIA INTL EXCHANGE,,28.82,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,098ca03438712b79f5e2b231717b2a82,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AJ2230137,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/098ca03438712b79f5e2b231717b2a82,FALSE,FALSE,,,,,,
NEAR ARIF GROCERY,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00,,23:45,AL BADER EXCHANGE BEDA ZAYED BRANCH,23:45,23:45,Asia/Dubai,23:45,(+971) 2-8845800,09:00,97128845800,,Abu Dhabi,AL BADER EXCHANGE BEDA ZAYED BRANCH,dc77c4fcbb2898410c94b3bdfebc82da,"23.659921,53.727361",23.659921,ABU DHABI,"Bldg Beda Zayed, Al Dafra St",09:00,09:00,09:00,N,DAILY LIMIT RITM0045475,"Bldg Beda Zayed, Al Dafra St, Near Arif Grocery, Daily Limit Ritm0045475, Abu Dhabi, Abu Dhabi, Ae",23:45,09:00,AE,,53.727361,23:45,N,09:00,23:45,AE,AL BADER EXCHANGE,,28.87,240,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,,2273a7a487d3bd317fad86c4815a9bbd,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,,11,,United Arab Emirates,AJ2170099,,,,"moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/2273a7a487d3bd317fad86c4815a9bbd,FALSE,FALSE,,,,,,
NEAR COOP AL DHAFRA,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30,,23:59,AL ANSARI EXCHANGE,23:59,23:59,Asia/Dubai,23:59,(+971) 2-8847101,07:30,97128847101,,Abu Dhabi,AL ANSARI EXCHANGE,dd695127669a28f6f72eb3d3cad2c218,"23.652441,53.705872",23.652441,ABU DHABI,Bldg Coop Al Dhafra Al Mizayan St,07:30,07:30,07:30,N,LIMITS BY CMP 749942,"Bldg Coop Al Dhafra Al Mizayan St, Near Coop Al Dhafra, Limits By Cmp 749942, Abu Dhabi, Abu Dhabi, Ae",23:59,07:30,AE,,53.705872,23:59,N,07:30,23:59,AE,AL ANSARI EXCHANGE,,29.15,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,fdd26fabba4cf5348ede0239a89c0b15,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED010042,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/fdd26fabba4cf5348ede0239a89c0b15,FALSE,FALSE,,,,,,
SHOP NO 11 AND 12 PLOT NO 157,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00 AM - 11:30 PM,08:00,,23:30,AL RAZOUKI INTL EXCHANGE CO,23:30,23:30,Asia/Dubai,23:30,(+971) 2-8840323,08:00,97128840323,,Madinat Zayed,AL RAZOUKI INTL EXCHANGE CO,3354a6e17d35a28b54be09d17ae84945,"23.659729,53.704394",23.659729,ABU DHABI,Bldg City Mall Madinat Zayed 51st St,08:00,08:00,08:00,N,LIMITS BY CMP 749942,"Bldg City Mall Madinat Zayed 51st St, Shop No 11 And 12 Plot No 157, Limits By Cmp 749942, Madinat Zayed, Abu Dhabi, Ae",23:30,08:00,AE,,53.704394,23:30,N,08:00,23:30,AE,AL RAZOUKI INTL EXCHANGE CO.,,29.93,240,Cash Money Transfer,Mobile Money Transfer,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,,4c21cebabecb59a74286fe73cc338acd,moneyTransferSend,mobileMoneyTransfer,moneyTransfer,directToBusiness,quickPay,quickCash,,9,,United Arab Emirates,AED080298,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/madinat-zayed/4c21cebabecb59a74286fe73cc338acd,FALSE,FALSE,,,,,,
NEAR AL NAFOORA RESTAURANT,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50,,23:59,AL FARDAN EXCHANGE BADA ZAYED,23:59,23:59,Asia/Dubai,23:59,(+971) 2-8844406,08:50,97128844406,,Abu Dhabi,AL FARDAN EXCHANGE BADA ZAYED,6224f8898a76dc688257851586a1eb3f,"23.658586,53.702144",23.658586,ABU DHABI,Bldg Al Fardan Dameeda St,08:50,08:50,08:50,N,LIMITS BY CMP 749942,"Bldg Al Fardan Dameeda St, Near Al Nafoora Restaurant, Limits By Cmp 749942, Abu Dhabi, Abu Dhabi, Ae",23:59,08:50,AE,,53.702144,23:59,N,08:50,23:59,AE,AL FARDAN EXCHANGE,,29.93,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,9c539bb199e59ecf313debdce932bf84,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED420265,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,stageAndPay,stageAndPaySend,stageAndPayReceive",ae/abu-dhabi/abu-dhabi/9c539bb199e59ecf313debdce932bf84,FALSE,FALSE,Pay for Transfers Started on App,Cash Money Transfer,Pick Up Cash,stageAndPay,stageAndPaySend,stageAndPayReceive
AREA ZAYED CITY,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00,,23:00,LARI EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 2-8848060,08:00,97128848060,,Abu Dhabi,LARI EXCHANGE,30b49ddeab560a7dfaf17177a3f8fd7c,"23.659305,53.701775",23.659305,ABU DHABI,Bldg Al Muhairbi Main Zayed City St,08:00,08:00,08:00,N,LIMITS BY CMP 00749942,"Bldg Al Muhairbi Main Zayed City St, Area Zayed City, Limits By Cmp 00749942, Abu Dhabi, Abu Dhabi, Ae",23:00,08:00,AE,,53.701775,23:00,N,08:00,23:00,AE,LARI EXCHANGE ESTABLISHMENT,,30.02,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,8ac901e1c7efb589814cd552c402ae41,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED160125,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/8ac901e1c7efb589814cd552c402ae41,FALSE,FALSE,,,,,,
LIWA AL DHAFRA POLICE STATTION,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30 AM - 09:45 PM,09:30,,21:45,AL FARDAN EXCHANGE LIWA AL DHARFA BRANCH,21:45,21:45,Asia/Dubai,21:45,(+971) 2-4436637,09:30,97124436637,2095,Abu Dhabi,AL FARDAN EXCHANGE LIWA AL DHARFA BRANCH,6224f8898a76dc688257851586a1eb3f,"23.132388,53.803194",23.132388,ABU DHABI,Al Mustadam Street Shop No. 6,09:30,09:30,09:30,N,,"Al Mustadam Street Shop No. 6, Liwa Al Dhafra Police Stattion, Abu Dhabi, Abu Dhabi, Ae",21:45,09:30,AE,,53.803194,21:45,N,09:30,21:45,AE,AL FARDAN EXCHANGE,,32.62,240,Cash Money Transfer,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,Pay for Transfers Started on App,Cash Money Transfer,7f3c12f936139b480795320e4e51323b,moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,stageAndPay,stageAndPaySend,8,,United Arab Emirates,AED421266,,,,"moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,stageAndPay,stageAndPaySend,stageAndPayReceive",ae/abu-dhabi/abu-dhabi/7f3c12f936139b480795320e4e51323b,FALSE,FALSE,Pick Up Cash,,,stageAndPayReceive,,
