Name,Address,City,Zipcode,Average Review Score,Total Review Count,Latitude,Longitude
Sofitel Dubai Jumeirah Beach,"Dubai, ARE",Dubai,None,9.4,10315,25.075527,55.132168
Burj Khalifa,"Dubaï, ARE",Dubaï,None,None,None,25.196935922000023,55.27453094700007
Jumeirah Emirates Towers,"Dubaï, ARE",Dubaï,None,None,None,25.218267825000055,55.283385570000064
First Class 1BR Apartment in Dubai Hills - next to Dubai Hills Mall,"Dubai, ARE",Dubai,None,9.9,43,25.114424,55.24801
Luxury Modern Studio in JLT with Amazing View & Rooftop Pool - sleeps 3,"Dubai, ARE",Dubai,None,9.8,55,25.078008,55.151128
The Palm Jumeirah,"Dubaï, ARE",Dubaï,None,None,None,25.118035027000076,55.13359977700003
Zabeel Park,"Dubaï, ARE",Dubaï,None,None,None,25.235347295000054,55.297559368000066
One Bedroom Apartment Dubai Fountain & Old Town View by Auberge,"Dubai, ARE",Dubai,None,9.8,188,25.193604,55.272827
Jumeirah Mosque,"Dubaï, ARE",Dubaï,None,None,None,25.23397138400003,55.265603439000074
"Al Maha, a Luxury Collection Desert Resort & Spa, Dubai","Murquab, ARE",Murquab,None,9.4,356,24.823587,55.660917
Burj Al Arab,"Dubaï, ARE",Dubaï,None,None,None,25.141029496000044,55.185714260000054
Sheikh Zayed Road,"Dubaï, ARE",Dubaï,None,None,None,25.059522577000052,55.12815640500003
Dubai Museum,"Dubaï, ARE",Dubaï,None,None,None,25.263578702000075,55.29739477900006
Burj Residences T3 Premium Apartment,"Dubai, ARE",Dubai,None,9.7,63,25.193104,55.273397
Ras Al-Khor Wildlife Sanctuary,"Dubaï, ARE",Dubaï,None,None,None,25.191339140000025,55.32264281100004
Cheval Maison - The Palm,"Dubai, ARE",Dubai,None,9.5,463,25.112972,55.139552
Jumeirah,"Dubaï, ARE",Dubaï,None,None,None,25.210136386000045,55.246676370000046
Kempinski The Boulevard Dubai,"Dubai, ARE",Dubai,None,9.4,3817,25.200876,55.275897
Dubai Creek,"Dubaï, ARE",Dubaï,None,None,None,25.264797444000067,55.292925972000035
Prestige Living 1BR with Full Burj Khalifa View by Auberge,"Dubai, ARE",Dubai,None,9.9,77,25.19891,55.271347
Dubai Marina,"Dubaï, ARE",Dubaï,None,None,None,25.08211014500006,55.14470189000008
Bur Dubai,"Dubaï, ARE",Dubaï,None,None,None,25.26354767600003,55.29753991100006
Papaya backpacker's,"Dubai, ARE",Dubai,None,9.5,170,25.088667,55.148226
Luxury Studios with Burj Khalifa or Canal View in Downtown - Marquise Square Tower,"Dubai, ARE",Dubai,None,9.7,79,25.185158,55.276067
Wild Wadi Waterpark,"Dubaï, ARE",Dubaï,None,None,None,25.13863014800006,55.18855039700003
"The Chedi Al Bait, Sharjah","Sharjah, ARE",Sharjah,None,9.4,1083,25.358198,55.383976
"Bulgari Resort, Dubai","Dubai, ARE",Dubai,None,9.4,455,25.210273,55.236261
Waldorf Astoria Dubai International Financial Centre,"Dubai, ARE",Dubai,None,9.4,1051,25.211548,55.281459
Boutique Apartment Sea Views - Dubai Marina,"Dubai, ARE",Dubai,None,10,33,25.074303,55.133109
Prestige,"Dubai, ARE",Dubai,None,9.5,341,25.076172,55.133056
"Grosvenor House, a Luxury Collection Hotel, Dubai","Dubai, ARE",Dubai,None,9.4,1490,25.085482,55.144275
Kempinski Central Avenue Dubai,"Dubai, ARE",Dubai,None,9.4,5347,25.199672,55.277297
JW Marriott Hotel Marina,"Dubai, ARE",Dubai,None,9.5,4250,25.077459,55.14102
Madinat Jumeirah,"Dubaï, ARE",Dubaï,None,None,None,25.13142964900004,55.18505057100003
Torch 77,"Dubai, ARE",Dubai,None,9.5,486,25.088255,55.147459
Berloga Capsule JBR,"Dubai, ARE",Dubai,None,9.6,119,25.080577,55.137152
House of Sheikh Saeed Al-Maktoum,"Dubaï, ARE",Dubaï,None,None,None,25.268035782000027,55.29022438800007
Gold Souk,"Dubaï, ARE",Dubaï,None,None,None,25.270757297000046,55.298321153000074
FIVE Palm Jumeirah Dubai,"Dubai, ARE",Dubai,None,9.2,25132,25.104193,55.148505
